agency_cd	gage_id	date	discharge_cfs	qa_flag
USGS	04102533	2015-08-15	3273.84069830878	A
USGS	04102533	2015-08-16	2955.37370430987	A
USGS	04102533	2015-08-17	3019.06710310966	A
USGS	04102533	2015-08-18	3579.56901254774	A
USGS	04102533	2015-08-19	3413.9661756683	A
USGS	04102533	2015-08-20	3312.05673758865	A
USGS	04102533	2015-08-21	3375.75013638843	A
USGS	04102533	2015-08-22	3108.23786142935	A
USGS	04102533	2015-08-23	3273.84069830878	A
USGS	04102533	2015-08-24	3286.57937806874	A
USGS	04102533	2015-08-25	3286.57937806874	A
USGS	04102533	2015-08-26	3108.23786142935	A
USGS	04102533	2015-08-27	2993.58974358974	A
USGS	04102533	2015-08-28	2904.41898527005	A
USGS	04102533	2015-08-29	2827.98690671031	A
USGS	04102533	2015-08-30	3019.06710310966	A
USGS	04102533	2015-08-31	2891.68030551009	A
USGS	04102533	2015-09-01	2853.46426623022	A
USGS	04102533	2015-09-02	2777.03218767049	A
USGS	04102533	2015-09-03	2764.29350791053	A
USGS	04102533	2015-09-04	2726.07746863066	A
USGS	04102533	2015-09-05	2662.38406983088	A
USGS	04102533	2015-09-06	2445.82651391162	A
USGS	04102533	2015-09-07	2509.5199127114	A
USGS	04102533	2015-09-08	2624.16803055101	A
USGS	04102533	2015-09-09	2624.16803055101	A
USGS	04102533	2015-09-10	2687.86142935079	A
USGS	04102533	2015-09-11	2917.15766503001	A
USGS	04102533	2015-09-12	2751.55482815057	A
USGS	04102533	2015-09-13	2662.38406983088	A
USGS	04102533	2015-09-14	2624.16803055101	A
USGS	04102533	2015-09-15	2407.61047463175	A
USGS	04102533	2015-09-16	2496.78123295145	A
USGS	04102533	2015-09-17	2407.61047463175	A
USGS	04102533	2015-09-18	2815.24822695035	A
USGS	04102533	2015-09-19	3961.72940534643	A
USGS	04102533	2015-09-20	4114.5935624659	A
USGS	04102533	2015-09-21	3350.27277686852	A
USGS	04102533	2015-09-22	3197.40861974905	A
USGS	04102533	2015-09-23	2751.55482815057	A
USGS	04102533	2015-09-24	3006.3284233497	A
USGS	04102533	2015-09-25	2942.63502454992	A
USGS	04102533	2015-09-26	2904.41898527005	A
USGS	04102533	2015-09-27	2713.3387888707	A
USGS	04102533	2015-09-28	2662.38406983088	A
USGS	04102533	2015-09-29	2687.86142935079	A
USGS	04102533	2015-09-30	2929.89634478996	A
USGS	04102533	2015-10-01	2636.90671031097	A
USGS	04102533	2015-10-02	2598.6906710311	A
USGS	04102533	2015-10-03	2343.91707583197	A
USGS	04102533	2015-10-04	2420.34915439171	A
USGS	04102533	2015-10-05	2471.30387343153	A
USGS	04102533	2015-10-06	2433.08783415166	A
USGS	04102533	2015-10-07	2356.65575559193	A
USGS	04102533	2015-10-08	2292.96235679214	A
USGS	04102533	2015-10-09	2433.08783415166	A
USGS	04102533	2015-10-10	2331.17839607201	A
USGS	04102533	2015-10-11	2280.22367703219	A
USGS	04102533	2015-10-12	2318.43971631206	A
USGS	04102533	2015-10-13	2203.79159847245	A
USGS	04102533	2015-10-14	2305.7010365521	A
USGS	04102533	2015-10-15	2216.53027823241	A
USGS	04102533	2015-10-16	2331.17839607201	A
USGS	04102533	2015-10-17	2191.05291871249	A
USGS	04102533	2015-10-18	1999.97272231315	A
USGS	04102533	2015-10-19	2292.96235679214	A
USGS	04102533	2015-10-20	2114.62084015276	A
USGS	04102533	2015-10-21	2471.30387343153	A
USGS	04102533	2015-10-22	2191.05291871249	A
USGS	04102533	2015-10-23	2101.8821603928	A
USGS	04102533	2015-10-24	2242.00763775232	A
USGS	04102533	2015-10-25	2025.45008183306	A
USGS	04102533	2015-10-26	2433.08783415166	A
USGS	04102533	2015-10-27	2369.39443535188	A
USGS	04102533	2015-10-28	2458.56519367158	A
USGS	04102533	2015-10-29	2649.64539007092	A
USGS	04102533	2015-10-30	2636.90671031097	A
USGS	04102533	2015-10-31	2407.61047463175	A
USGS	04102533	2015-11-01	2904.41898527005	A
USGS	04102533	2015-11-02	2700.60010911075	A
